theme,location,date,img src,link
浪你笑S2_喜劇拼盤秀,高雄市,2023.06.23 (五) 19:00 -  21:00,https://static.accupass.com/eventbanner/2306030133514991107540_P520x260.jpg,https://www.accupass.com/event/2306030130453553505300?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【雄中喜劇×喜劇開港處男秀｜盛情男劇】,高雄市,2023.07.15 (六) 14:00 -  17:30,https://static.accupass.com/eventbanner/2306140332291658403745_P520x260.jpg,https://www.accupass.com/event/2306121720461877723190?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
三咖啡喜劇夜 - 端午節之粽慾過度,台北市,2023.06.29 (四) 20:00 -  21:30,https://static.accupass.com/eventbanner/2305050531341907819615_P520x260.jpg,https://www.accupass.com/event/2305050541131951743587?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
喜劇開港脫口秀open mic (六月場）,高雄市,2023.06.02 (五) 20:00 - 06.30 (五) 22:00,https://static.accupass.com/eventbanner/2305301336471108509049_P520x260.jpg,https://www.accupass.com/event/2305270558242835127160?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】創造自已的獨特喜感—青少年脫口秀喜劇工作坊 (脫口秀大師兄 壯壯授課),台北市,2023.08.14 (一) 10:00 - 08.19 (六) 17:00,https://static.accupass.com/eventbanner/2305091100502003989000_P520x260.jpg,https://www.accupass.com/event/2305040140359742533050?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
2023｜六月｜星期四 老鳥試段子｜單口喜劇 Open Mic,台北市,2023.06.01 (四) 20:00 - 06.29 (四) 21:10,https://static.accupass.com/eventbanner/2305211240381439427473_P520x260.jpg,https://www.accupass.com/event/2305211224232918298730?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】解封你的即興天賦---即興遊戲表演紓壓工作坊  (即興引導教練 歐耶老師授課),台北市,2023.08.21 (一) 10:00 - 08.27 (日) 17:00,https://static.accupass.com/eventbanner/2305071259082882825760_P520x260.jpg,https://www.accupass.com/event/2305071255451325995820?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
2023｜6月7月｜音樂喜劇Open Mic｜主持：怡岑,台北市,2023.06.11 (日) 20:00 - 07.09 (日) 21:15,https://static.accupass.com/eventbanner/2305211247581647097483_P520x260.jpg,https://www.accupass.com/event/2303250720382035793497?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
單口喜劇個人專場｜《工作人員》｜李安,台北市,2023.07.15 (六) 19:30 -  20:45,https://static.accupass.com/eventbanner/2305310903161274410008_P520x260.jpg,https://www.accupass.com/event/2305310908091485751446?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】 日本人的青少年漫才暑期班  (原汁原味日式搞笑-漫才少爺授課),台北市,2023.07.17 (一) 09:30 - 07.22 (六) 21:30,https://static.accupass.com/eventbanner/2305091051451738870632_P520x260.jpg,https://www.accupass.com/event/2304161106441396473519?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】一開口就有魅力—聲音表達工作坊 (資深聲音導演 王華怡老師授課),台北市,2023.07.25 (二) 19:30 - 09.12 (二) 21:30,https://static.accupass.com/eventbanner/2305040139332434971720_P520x260.jpg,https://www.accupass.com/event/2304150551467019506660?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
文森站立喜劇Ep3. 得不到最想要,台北市,2023.09.15 (五) 20:30 -  22:00,https://static.accupass.com/eventbanner/2306161526061638155215_P520x260.jpg,https://www.accupass.com/event/2306141528131696001115?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】 日本人的漫才工作坊  (原汁原味日本人-漫才少爺授課),台北市,2023.07.03 (一) 19:30 - 09.18 (一) 22:00,https://static.accupass.com/eventbanner/2305091053129075944390_P520x260.jpg,https://www.accupass.com/event/2304162018371005525952?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
屁孩Ryan｜《少年PI》｜個人專場TryOut｜嘻哈Ｘ喜劇,台北市,2023.07.08 (六) 21:00 -  22:30,https://static.accupass.com/eventbanner/2306210827161267869817_P520x260.jpg,https://www.accupass.com/event/2306190400529826764860?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
六月｜《人生超爽這樣過：完全攻略》｜即興表演／即興喜劇／有趣演講,台北市,2023.06.24 (六) 15:00 -  16:10,https://static.accupass.com/eventbanner/2305151631595296974900_P520x260.jpg,https://www.accupass.com/event/2305151622571184221719?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
來福 OPEN MIC 6月,台中市,2023.06.02 (五) 19:30 - 06.30 (五) 21:30,https://static.accupass.com/eventbanner/2305240537451574054137_P520x260.jpg,https://www.accupass.com/event/2305240542551252757013?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
你好漫才工作室《八隻小豬》,台北市,2023.07.01 (六) 19:30 - 07.02 (日) 16:00,https://static.accupass.com/eventbanner/2305101954158367920000_P520x260.jpg,https://www.accupass.com/event/2305101957019033853980?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
你好漫才FUNNY SHOW,台中市,2023.04.30 (日) 20:00 - 07.22 (六) 20:40,https://static.accupass.com/eventbanner/2303290348281933755500_P520x260.jpg,https://www.accupass.com/event/2303290304157439170100?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
大熊老師的單口表演訓練課,台中市,2023.07.22 (六) 14:00 - 08.19 (六) 17:00,https://static.accupass.com/eventbanner/2305310442211594125900_P520x260.jpg,https://www.accupass.com/event/2305310445393857497130?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
6/29【老手交流會】大家一起來討論!!﹝24-2-23-8的交叉與動機﹞,線上活動,2023.06.29 (四) 20:30 -  22:00,https://static.accupass.com/eventbanner/2305230121541817233632_P520x260.jpg,https://www.accupass.com/event/2305230101161496657347?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
人選職人 - 摸魚者,台北市,2023.07.22 (六) 20:00 - 08.12 (六) 21:30,https://static.accupass.com/eventbanner/2306131554282143338271_P520x260.jpg,https://www.accupass.com/event/2306131551246520785260?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
最初10堂星期日的站立喜劇課：Social 喜劇工作坊-2023春季班第一/二階段,台北市,2023.04.09 (日) 14:30 - 07.16 (日) 17:30,https://static.accupass.com/eventbanner/2303072240439717002670_P520x260.jpg,https://www.accupass.com/event/2303072246146464048370?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
2023 六月號｜焦點之夜｜中文單口喜劇｜領銜主演：歐耶,台北市,2023.06.24 (六) 19:00 -  23:00,https://static.accupass.com/eventbanner/2306151638302404235100_P520x260.jpg,https://www.accupass.com/event/2306071118447093541800?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【卡米地笑星孵化學院】創造自已的獨特喜感—喜劇表演工作坊 (脫口秀大師兄 壯壯授課),台北市,2023.07.30 (日) 10:00 - 09.24 (日) 17:00,https://static.accupass.com/eventbanner/2305091104051956000086_P520x260.jpg,https://www.accupass.com/event/2305061013029995750580?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【6/29】6月場大稻埕紅酒喜劇做起來！OPEN MIC,台北市,2023.06.29 (四) 20:00 -  21:30,https://static.accupass.com/eventbanner/2305170915155445072430_P520x260.jpg,https://www.accupass.com/event/2305170809343789663700?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
迷鹿即興開放團練 - 玩表演、練即興、別準備、來就對~ ｜ 台北最Easy的即興喜劇入門派對  vol.111,台北市,2023.07.04 (二) 19:30 - 07.25 (二) 21:30,https://static.accupass.com/eventbanner/2306061501222095189921_P520x260.jpg,https://www.accupass.com/event/2306061510338516535020?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
迷鹿培玩即興心工坊 - 台北最Easy的即興喜劇入門派對  vol.113,台北市,2023.08.20 (日) 14:00 -  17:00,https://static.accupass.com/eventbanner/2306061558184429161770_P520x260.jpg,https://www.accupass.com/event/2306061355471280555150?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
墨應系訂閱讀者【專屬】線上交流會 - 探索智慧的交匯點！,線上活動,2023.06.30 (五) 20:30 -  21:30,https://static.accupass.com/eventbanner/2305230033271925019270_P520x260.jpg,https://www.accupass.com/event/2306031330503855549260?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
七月｜《古代魔術師的口袋秘密》｜近距離表演／沉浸體驗／茶香故事,台北市,2023.07.01 (六) 15:00 - 07.15 (六) 16:10,https://static.accupass.com/eventbanner/2305200938455920722740_P520x260.jpg,https://www.accupass.com/event/2305200944346702770160?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
 【歡樂舒壓玩即興＠信義社大】第一週免費試聽,台北市,2023.03.09 (四) 19:00 - 07.06 (四) 21:30,https://static.accupass.com/eventbanner/2302211330501258337155_P520x260.jpg,https://www.accupass.com/event/2302211334121270495523?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
《即．承轉合 ～ Well-Made Impro Play》即興長短劇｜迷鹿即興2023夏季製作 Impro / Improv / 即興劇,台北市,2023.07.15 (六) 14:30 - 07.16 (日) 18:00,https://static.accupass.com/eventbanner/2305071626461057821250_P520x260.jpg,https://www.accupass.com/event/2305011422234821478570?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
新文化館教育推廣親子活動【繪本說故事】：《什麼是民主》,台北市,2023.06.24 (六) 14:00 -  15:00,https://static.accupass.com/eventbanner/2305240847041745211468_P520x260.jpg,https://www.accupass.com/event/2305240852054450673330?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
新文化館教育推廣親子活動【繪本說故事】：《誰需要國王呢？》,台北市,2023.07.09 (日) 14:00 -  15:00,https://static.accupass.com/eventbanner/2306060907545889360660_P520x260.jpg,https://www.accupass.com/event/2306060909245089630950?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【約約伴】我們與愛的距離 ｜深度沉浸式互動 - 一起談愛吧,台北市,2023.07.07 (五) 19:00 - 07.09 (日) 17:30,https://static.accupass.com/eventbanner/2306210706267309876790_P520x260.jpg,https://www.accupass.com/event/2306081318004216216440?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
東區德即興表演課 Level A 「戲劇遊戲 x 歡樂紓壓 - 輕鬆學即興力」(A12期),台北市,2023.07.15 (六) 10:00 - 07.16 (日) 17:00,https://static.accupass.com/eventbanner/2305080333061134466891_P520x260.jpg,https://www.accupass.com/event/2305050633389421361460?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
☕這杯人生滋味，為你——《非常咖啡店》新書分享會＠7/16台北華山．青鳥書店,台北市,2023.07.16 (日) 16:00 -  17:30,https://static.accupass.com/eventbanner/2306070622561325119577_P520x260.jpg,https://www.accupass.com/event/2306070624401406816607?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
( 線上課程 ) 2023/ 11/30(四)  跟歐耶老師學【幽默魅力】,線上活動,2023.11.30 (四) 19:30 -  22:00,https://static.accupass.com/eventbanner/2301050855481594765545_P520x260.jpg,https://www.accupass.com/event/2305040112351551359750?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
☕這杯人生滋味，為你——《非常咖啡店》新書分享會＠7/1誠品．台中園道店,台中市,2023.07.01 (六) 19:30 -  20:30,https://static.accupass.com/eventbanner/2306070633494526230850_P520x260.jpg,https://www.accupass.com/event/2306070635211077602926?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
爺奶大聲說 免費口說表演課程,台北市,2023.08.01 (二) 14:00 - 10.30 (一) 17:00,https://static.accupass.com/eventbanner/2306140218397479357700_P520x260.jpg,https://www.accupass.com/event/2306140224211736709932?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
菜冠雙頭｜《鬼島》｜2023夏季🔥全新漫才專場！,台北市,2023.08.12 (六) 15:00 - 08.19 (六) 21:30,https://static.accupass.com/eventbanner/2306181234551893202881_P520x260.jpg,https://www.accupass.com/event/2306181233227783378160?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
在眷村邂逅說唱藝術,台北市,2023.07.01 (六) 15:00 - 07.29 (六) 17:00,https://static.accupass.com/eventbanner/2305311533572570266100_P520x260.jpg,https://www.accupass.com/event/2305300901511096543334?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
( 線上課程 ) 2023/ 8/9(三)【YES AND即興接話回應術】歐耶老師,線上活動,2023.08.09 (三) 19:30 -  22:30,https://static.accupass.com/eventbanner/2306030908281384800770_P520x260.jpg,https://www.accupass.com/event/2304281012241104331111?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
基因編輯的多重宇宙—科普影片《基因啟示》放映暨映後座談,台北市,2023.07.29 (六) 14:00 - 09.17 (日) 16:00,https://static.accupass.com/eventbanner/2306190153394570018610_P520x260.jpg,https://www.accupass.com/event/2305040306343894090350?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
或者光盒子 2023週日樂映 影迷派對　,新竹市,2023.07.30 (日) 13:30 -  17:00,https://static.accupass.com/eventbanner/2306120314341735333009_P520x260.jpg,https://www.accupass.com/event/2306120222125012390780?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
( 線上課程 ) 2023/12/7(四) 跟歐耶老師學【故事設計】,線上活動,2023.12.07 (四) 19:30 -  22:00,https://static.accupass.com/eventbanner/2301050855309650673730_P520x260.jpg,https://www.accupass.com/event/2305040112445812052460?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
( 線上課程 ) 2023/ 12/14(四) 跟歐耶老師學【故事表達】,線上活動,2023.12.14 (四) 19:30 -  22:00,https://static.accupass.com/eventbanner/2301050855071615783926_P520x260.jpg,https://www.accupass.com/event/2305040113251641543427?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
音樂美學講座《維多利亞與愛德華》倫敦的美好時代 2023/07/25(二)晚上,台北市,2023.07.25 (二) 18:30 -  21:30,https://static.accupass.com/eventbanner/2306200653031168574069_P520x260.jpg,https://www.accupass.com/event/2306200654421838705254?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【綠色之心】06/27 山的那一邊 Hidden Treasures in the Mountain,桃園市,2023.06.27 (二) 18:30 -  20:25,https://static.accupass.com/eventbanner/2305130902076914287620_P520x260.jpg,https://www.accupass.com/event/2305130901428144607200?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
忠泰美術館 X Giloo《亻—生而為人》線上主題影展,線上活動,2023.06.12 (一) 00:00 - 09.11 (一) 23:55,https://static.accupass.com/eventbanner/2306130703101473514320_P520x260.jpg,https://www.accupass.com/event/2306130708511646247100?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
A Midsummer Night's Dream x Happy Hour 仲夏夜之夢,台北市,2023.07.14 (五) 18:30 -  19:30,https://static.accupass.com/eventbanner/2305180844485205859500_P520x260.jpg,https://www.accupass.com/event/2305180847511835044515?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
第五屆表演藝術金創獎:試演決選暨頒獎典禮,桃園市,2023.07.19 (三) 14:00 -  18:00,https://static.accupass.com/eventbanner/2306190041041936077994_P520x260.jpg,https://www.accupass.com/event/2306160325559702441410?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【關於我愛你＿親子共讀系列講座】 7月場次,基隆市,2023.07.08 (六) 14:00 - 07.29 (六) 15:30,https://static.accupass.com/eventbanner/2306190926312367950570_P520x260.jpg,https://www.accupass.com/event/2306191019027091357230?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【走台灣。徒步環島分享會】高雄場,高雄市,2023.08.12 (六) 09:30 -  12:00,https://static.accupass.com/eventbanner/2306190120241812886917_P520x260.jpg,https://www.accupass.com/event/2306120935391536108993?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
2023愛樂人講堂《愛與生命的詠歌－樂讀普契尼的歌劇人生》,線上活動,2023.09.05 (二) 19:00 - 11.07 (二) 21:30,https://static.accupass.com/eventbanner/2306141048418934453380_P520x260.jpg,https://www.accupass.com/event/2306141052551656734985?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
【打開紅樓—向古蹟劇場的未來說聲嗨】專題論壇,台北市,2023.07.09 (日) 14:00 -  16:00,https://static.accupass.com/eventbanner/2306190816433923029970_P520x260.jpg,https://www.accupass.com/event/2306190433551623976000?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
2023 藝集音樂講堂 ｜ 呂岱衛   : 【 世紀風華百老匯：入門初探  】 全六講   ( 現場課程 + 線上課程）,台北市,2023.03.18 (六) 14:30 - 07.08 (六) 17:00,https://static.accupass.com/eventbanner/2303020255165652257110_P520x260.jpg,https://www.accupass.com/event/2302150331294455362900?utm_source=web&utm_medium=search_result_%E5%96%9C%E5%8A%87&utm_campaign=accu_e_
